translate_alt,question,ans,alt1,alt2,alt3
1,"Qual o maior vencedor de Copas do Mundo?",Brasil,Alemanha,Espanha,Argentina
0,"Quem é o maior artilheiro de Copas do Mundo?",Miroslav Klose,Ronaldo,Lionel Messi,Cristiano Ronaldo
0,"Qual desses jogadores não jogou pelos rivais Barcelona e Real Madrid?",Ibrahimovic,Ronaldo,Luis Figo,Samuel Eto'o
0,"Qual desses jogadores não jogou pelos rivais Internazionale e Milan?",Gattuso,Pirlo,Seedorf,Ibrahimovic
0,"Qual jogador venceu o prêmio de Melhor do Mundo da FIFA em 2007?",Kaká,Cristiano Ronaldo,Messi,Thierry Henry
0,"Qual o único defensor a vencer o prêmio de Melhor do Mundo da FIFA?",Fabio Cannavaro,Virgil Van Dijk,Paolo Maldini,Rio Ferdinand
1,"Quem venceu a Copa do Mundo de 1994?",Brasil,Itália,França,Alemanha
1,"Quem venceu a Copa do Mundo de 1998?",França,Brasil,Holanda,Dinamarca
1,"Quem venceu a Copa do Mundo de 2002?",Brasil,Alemanha,França,Espanha
1,"Quem venceu a Copa do Mundo de 2006?",Itália,França,Portugal,Alemanha
1,"Quem venceu a Copa do Mundo de 2010?",Espanha,Holanda,Alemanha,Uruguai
1,"Quem venceu a Copa do Mundo de 2014?",Alemanha,Argentina,Holanda,Brasil
1,"Quem venceu a Copa do Mundo de 2018?",França,Croácia,Inglaterra,Bélgica
1,"Quem venceu a Copa do Mundo de 2022?",Argentina,França,Croácia,Marrocos
0,"Qual o maior vencedor do prêmio de Melhor do Mundo da FIFA?",Lionel Messi,Cristiano Ronaldo,Zidane,Ronaldinho
1,"Onde foi realizada a Copa do Mundo de 1994?",Estados Unidos,Canadá,México,Brasil
1,"Onde foi realizada a Copa do Mundo de 1998?",França,Itália,Espanha,Inglaterra
1,"Onde foi realizada a Copa do Mundo de 2002?",Japão e Coréia do Sul,Austrália,Japão,Coréia do Sul
1,"Onde foi realizada a Copa do Mundo de 2006?",Alemanha,França,Espanha,Itália
1,"Onde foi realizada a Copa do Mundo de 2010?",África do Sul,Senegal,Costa do Marfim,Nigéria
1,"Onde foi realizada a Copa do Mundo de 2014?",Brasil,Argentina,Chile,Uruguai
1,"Onde foi realizada a Copa do Mundo de 2018?",Rússia,Polônia,Dinamarca,Holanda
1,"Onde foi realizada a Copa do Mundo de 2022?",Catar,Nova Zelândia,Arábia Saudita,Austrália
0,"Qual foi a final da Liga dos Campeões da UEFA de 2005-2006?",Barcelona x Arsenal,Barcelona x Chelsea,Arsenal x Real Madrid,Chelsea x Real Madrid
0,"Qual foi a final da Liga dos Campeões da UEFA de 2006-2007?",Milan x Liverpool,Manchester United x Milan,Arsenal x Internazionale,Liverpool x Chelsea
0,"Qual foi a final da Liga dos Campeões da UEFA de 2007-2008?",Manchester United x Chelsea,Manchester United x Liverpool,Chelsea x Liverpool,Tottenham x Liverpool
0,"Qual foi a final da Liga dos Campeões da UEFA de 2010-2011?",Barcelona x Manchester United,Barcelona x Real Madrid,Internazionale x Bayern,Barcelona x Internazionale
0,"Qual foi a final da Liga dos Campeões da UEFA de 2014-2015?",Barcelona x Juventus,Juventus x Manchester United,Real Madrid x Juventus,Barcelona x Manchester United
0,"Quem marcou o gol do título do Manchester City da Liga dos Campeões da UEFA de 2022-2023?",Rodri,Kevin De Bruyne,Bernardo Silva,Haaland
0,"Quem marcou o gol do título do Real Madrid da Liga dos Campeões da UEFA de 2021-2022?",Vinícius Júnior,Toni Kroos,Karim Benzema,Luka Modric
0,"Quem marcou o gol do título do Chelsea da Liga dos Campeões da UEFA de 2020-2021?",Kai Havertz,Thiago Silva,Timo Werner,Mason Mount
0,"Quem marcou o gol do título do Bayern da Liga dos Campeões da UEFA de 2019-2020?",Kingsley Coman,Robert Lewandowski,Thomas Muller,Leon Goretzka
0,"Em qual temporada o Arsenal foi campeão da Liga Inglesa de forma invicta?",2003-2004,2002-2003,2004-2005,2001-2002
0,"Em qual temporada o Liverpool NÃO foi campeão da Liga Inglesa mesmo alcançando incríveis 97 pontos?",2018-2019,2017-2018,2019-2020,2016-2017
